title,author,author_gender
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,female
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,female
To Kill a Mockingbird,Harper Lee,female
Pride and Prejudice,Jane Austen,female
"Twilight (Twilight, #1)",Stephenie Meyer,Unknown
The Book Thief,Markus Zusak,Unknown
Animal Farm,George Orwell,male
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,male
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,male
Gone with the Wind,Margaret Mitchell,female
The Fault in Our Stars,John Green,male
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,male
The Giving Tree,Shel Silverstein,Unknown
Wuthering Heights,Emily Brontë,female
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,male
Memoirs of a Geisha,Arthur Golden,male
The Picture of Dorian Gray,Oscar Wilde,male
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,male
Jane Eyre,Charlotte Brontë,female
Les Misérables,Victor Hugo,male
"Divergent (Divergent, #1)",Veronica Roth,female
Fahrenheit 451,Ray Bradbury,male
Romeo and Juliet,William Shakespeare,male
Lord of the Flies,William Golding,male
The Alchemist,Paulo Coelho,male
Crime and Punishment,Fyodor Dostoyevsky,male
The Perks of Being a Wallflower,Stephen Chbosky,male
The Great Gatsby,F. Scott Fitzgerald,male
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,male
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,female
The Help,Kathryn Stockett,female
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,female
Charlotte's Web,E.B. White,male
The Time Traveler's Wife,Audrey Niffenegger,male
Of Mice and Men,John Steinbeck,male
The Little Prince,Antoine de Saint-Exupéry,male
Dracula,Bram Stoker,male
Brave New World,Aldous Huxley,male
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,female
One Hundred Years of Solitude,Gabriel García Márquez,male
The Princess Bride,William Goldman,male
The Catcher in the Rye,J.D. Salinger,male
The Secret Garden,Frances Hodgson Burnett,female
A Thousand Splendid Suns,Khaled Hosseini,male
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,female
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,male
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,male
The Adventures of Huckleberry Finn,Mark Twain,male
The Lovely Bones,Alice Sebold,Unknown
